HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,42816,1,1
1,74624,44,44
2,35744,50,50
3,20992,56,56
4,19968,62,62
5,18208,68,68
6,14784,74,74
7,9788256,78,78

Range Index,Elapsed Time, First Event,Last Event
0,75168,44,44
1,25504,50,50
2,21120,56,56
3,19552,62,62
4,18752,68,68
5,15072,74,74

Range Index,Elapsed Time, First Event,Last Event,gpu__draw_count,Cycles,zrop__lts_read_utilization_pct,Cycles,DispatchLaunchDimZAvg,Cycles,tex__busy_pct_avg,Cycles,smsp__inst_executed_cs_sum,Cycles,tex__sm_utilization_pct,Cycles,ia__prim_count,Cycles,dram__write_pct,Cycles,DispatchLaunchDimXAvg,Cycles,gpu__shaded_fragments,Cycles,lts__request_total_sectors_hitrate_pct,Cycles,sm__tex_utilization_pct,Cycles,gpu__dispatch_count,Cycles,ltc__sol_pct,Cycles,DispatchLaunchDimYAvg,Cycles,DispatchTotalThreads,Cycles,DispatchKernelDimXAvg,Cycles,DispatchKernelDimYAvg,Cycles,DispatchKernelDimZAvg,Cycles,crop__sol_pct,Cycles,sm__active_cycles_vs_pct,Cycles,sm__active_cycles_tcs_pct,Cycles,sm__active_cycles_tes_pct,Cycles,sm__active_cycles_gs_pct,Cycles,sm__active_cycles_fs_pct,Cycles,sm__active_cycles_cs_pct,Cycles,ia__sol_pct,Cycles,ia__busy_pct_avg,Cycles,lts__request_tex_write_utilization_pct,Cycles,sm__sol_pct,Cycles,sm__busy_pct_avg,Cycles,tex__sol_pct,Cycles,lts__busy_pct_avg,Cycles,crop__busy_pct_avg,Cycles,crop__lts_write_utilization_pct,Cycles,zrop__sol_pct,Cycles,zrop__busy_pct_avg,Cycles,fbpa__sol_pct,Cycles,fbpa__busy_pct_avg,Cycles,lts__request_ia_read_utilization_pct,Cycles,lts__request_tex_read_utilization_pct,Cycles,xfb__lts_utilization_pct,Cycles,zrop__lts_write_utilization_pct,Cycles,crop__lts_read_utilization_pct,Cycles,dram__read_pct,Cycles
0,929504,44,74,6,1,0.433252,1,0,1,19.3943,1,0,1,1.17438,1,1069,1,1.10977,1,0,1,443858,1,85.1062,1,1.57539,1,0,1,3.42885,1,0,1,0,1,0,1,0,1,0,1,2.70567,1,2.81924,1,0,1,0,1,0,1,14.7756,1,0,1,0.162346,1,2.88409,1,0,1,5.48938,1,29.4342,1,2.15319,1,15.6217,1,2.70567,1,1.07763,1,0.879964,1,13.3331,1,2.0693,1,76.3127,1,0.0535105,1,2.68031,1,0,1,0.677073,1,0.310358,1,0.959528,1

